N° Edição|Ano|Data|Município|Entidade|Categoria|Documento|Arquivo|URL|Identificador
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|Decreto|Decreto 049-25 Credito Suplementar|DM_5417_051_Avelino_Lopes_Decreto_049-25_Credito_Suplementar_pag_145.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_051_Avelino_Lopes_Decreto_049-25_Credito_Suplementar_pag_145.pdf|167C48E3FE0470B4
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Dispensa 016-25 Extrato Contrato 080-25|DM_5417_072_Avelino_Lopes_Licitacao_Dispensa_016-25_Extrato_Contrato_080-25_pag_147.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_072_Avelino_Lopes_Licitacao_Dispensa_016-25_Extrato_Contrato_080-25_pag_147.pdf|09FED7A8B42A724A
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RGF 2 Quadrimestre 2025 ANEXO 01 PESSOAL|DM_5417_052_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_01_PESSOAL_pag_594.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_052_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_01_PESSOAL_pag_594.pdf|1519036BA07A709D
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RGF 2 Quadrimestre 2025 ANEXO 02 DIVIDA|DM_5417_053_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_02_DIVIDA_pag_596.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_053_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_02_DIVIDA_pag_596.pdf|1252787AE566709F
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RGF 2 Quadrimestre 2025 ANEXO 03 GARANTIAS|DM_5417_054_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_03_GARANTIAS_pag_597.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_054_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_03_GARANTIAS_pag_597.pdf|0471C1C73E0270A0
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RGF 2 Quadrimestre 2025 ANEXO 04 OP CREDITO|DM_5417_055_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_04_OP_CREDITO_pag_598.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_055_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_04_OP_CREDITO_pag_598.pdf|030E7C4EE07870A1
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RGF 2 Quadrimestre 2025 ANEXO 05 DISPONIBILIDADE|DM_5417_056_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_05_DISPONIBILIDADE_pag_599.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_056_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_05_DISPONIBILIDADE_pag_599.pdf|13B5BDF342F070A6
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RGF 2 Quadrimestre 2025 ANEXO 06 SIMPLIFICADO|DM_5417_057_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_06_SIMPLIFICADO_pag_601.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_057_Avelino_Lopes_LRF_RGF_2_Quadrimestre_2025_ANEXO_06_SIMPLIFICADO_pag_601.pdf|0CC562996F3E70B3
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 4 Bimestre 2025 ANEXO 01 BO|DM_5417_058_Avelino_Lopes_LRF_RREO_4_Bimestre_2025_ANEXO_01_BO_pag_574.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_058_Avelino_Lopes_LRF_RREO_4_Bimestre_2025_ANEXO_01_BO_pag_574.pdf|167C48E3FE04704B
5417|2.025|01/10/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 4 Bimestre 2025 ANEXO 02 FUNCAO|DM_5417_059_Avelino_Lopes_LRF_RREO_4_Bimestre_2025_ANEXO_02_FUNCAO_pag_576.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5417/DM_5417_059_Avelino_Lopes_LRF_RREO_4_Bimestre_2025_ANEXO_02_FUNCAO_pag_576.pdf|1519036BA07A704C
